title,body,date
Gala Hotels - ITS A SCAM,Gala Hotels are scammers. We booked 3 nights for a trip to Madrid in early January 2019. Gala hotels took our money on the 8th December 2018 and sent us an email booking confirmation. When we got to the hotel in Madrid they told us the booking was cancelled on the 19th Dec. They were fully booked so late at night we had to find another hotel and pay another €450. Gala Hitels are impossible to contact as no one answers their telephone number and when you make an online complaint you get an automatic robot answer and SILENCE! We used Tripadvisor to make our initial booking and I am shocked that Tripadvisor are still facilitating this scam from Gala Hotels.,"Date of experience: January 27, 2019"
Scam - Avoid!,"I see people complaining about rocking up to December bookings and they are cancelled. Had exactly the same problem the prior year, my new years eve booking was cancelled and they took the money. Definitely a standard modus operandi.Of course no feedback to raising issue on website.","Date of experience: February 14, 2020"
Scam,"Scam. Never provide your credit card number to this ""business"".I booked a hotel in Lisbon and prepaid the full amount through this company. On arrival at the hotel I was told that my reservation was cancelled by the travel agent and I had to pay for the stay in the hotel again.Galahotels only responded to the complaint with the ""We are looking into it"" but never actually said anything more. They did not cooperate with the bank when I raised the charge back request through the credit card company. They never made any steps to voluntary return my money.","Date of experience: June 01, 2021"
Gala Hotels ARE fraudulent,"I've also been scammed by Gala Hotels. They take your money and make the booking through an intermediary hotelbeds.com but they never forward payment to Hotel Beds who then cancel the reservation.I have reported them to the National Fraud and Cyber Crime Reporting Centre who take reports on behalf of the UK police. But they tell me I am the only person who has logged a complaint against this company. They will act if they receive a number of complaints but for now my report is just logged for information. *** So please if anyone in the uk has been scammed by Gala Hotels, Leonardo Travel or Vanilla Tours (they are all the same co.) please report them to actionfraud.police.uk. ***","Date of experience: February 06, 2019"
Still this company is scamming people,Still this company is scamming people. Years later. I was scammed myself in February 2019. Reported them to action fraud they are normally good for shutting websites down. Not this time they never replied to my report. Its beyond me how its still happening,"Date of experience: April 22, 2019"
I am speechless to know none of the…,"I am speechless to know none of the phone numbers they listed on their website works, nor their contact us form, or emails.I need invoice for a booking i made with them and there's no way i can get through to anyone...! How is it possible they put all the incorrect information on their website and get away with not dealing with anything? Is this a paper company?","Date of experience: March 14, 2019"
Scammers,"Like others below I made a reservation in Paris via Gala Hotels.com this was made in November 2018 and my card was debited. When I arrived I was told my reservation had been cancelled in December 2018. Do not touch this company with a bargepole, they are scammers.","Date of experience: June 27, 2019"
Amic Gala not same as Gala hotels.com,"We stayed at the perfectly good (Amic) Gala hotel in Palma, Mallorca.  But made the mistake of booking the room through Gala Hotels .com, who came up on the google search.  Seemed reasonable!  Turns out that Gala-Hotels.com are a completely different company, based in Turkey, and either useless or dishonest,  - not sure which.  So GH.com took our money and then we we reached the actual hotel they'd never heard of the booking.  Reference number, print out of booking confirmation email etc are worthless, GH.com took the money but never booked our room with the hotel or anything.  And of course the GH.com website doesn't work, and neither does their phone number.  Glad we used a credit card - hoping to get a refund via that.","Date of experience: April 28, 2019"
SCAMMERS,"SCAMMERS. In October 2018, I purchased three hotel rooms online via GalaHotels.com website. In July 2019, when me and my quests arrived to the hotel with proof of purchase, we were informed that we did NOT have reservations at the hotel. I contacted Gala Hotels.com at info @ galahotels.com and did not get a response or refund.","Date of experience: July 21, 2019"
CHECK YOUR GALA HOTELS BOOKING,"I booked via Galahotels.com in May 2018 for a hotel booking in May 2019 and even confirmed with the hotel in June 2018 that they had a booking. Now I find the booking was cancelled by Gala in December 2018, they have taken my money, not made a refund, and not told me about the cancellation. I would advise anyone else to check that a booking exists in their name. I hope the Galahotels folk will now contact me because they do not reply to phone calls, or emails at either the UK or Turkish numbers.","Date of experience: May 03, 2019"
DO NOT BOOK!!!,"I booked a hotel room at RIO Las Vegas over Christmas. Arrived at the hotel, I got the information that GalaHotel has canceled the booking. So I had to pay a high price for the stay. Contacting Galahotels is not possible until today. My complaint was not processed and I have not been refunded any money. So I paid twice for a room. I'm going to file a lawsuit against the company for fraud, and have a lawyer friendly in Istanbul fix the case.","Date of experience: February 08, 2019"
DO NOT USE >>>> SCAM.......,DO NOT USE >>>> SCAM.......Same as others...... Mid November 2018 booked and paid for 5 nights at hotel in Rome. I reconfirmed directly with the hotel at the time who advised all okay. I just contacted the hotel regarding transfers and was advised that GALA HOTELS cancelled my booking on 18 December 2018. Now I cannot get onto GALA .....,"Date of experience: April 07, 2019"
Do not book with this company....,"Do not book any accommodation with this company!We booked, paid and they made a reservation and then cancelled it without informing us.Have received no refund. Their phone numbers do not work.Absolute SCAMMERS!","Date of experience: July 29, 2019"
Galahotels 2019,We booked our London Hotel in 2018 for March 2019 through GalaHotels. We had confirmation from them and even had Galahotel protection! We arrived and no hotel had to quickly find another hotel so lost our £149. No apology nothing at all. I would have thought this was Fraud? Doesn't seem to be any protection against scams like this- guess this company are still trading even under another name!!! There should be a fund to reimburse holiday makers when unscrupulous companies pocket your hard earned money and deliver you nothing. Do not book.with this company and check that any future company has some kind of ABTA protection. In future I will try and book direct with the hotel it's not worth trying to save a few pounds to be scammed,"Date of experience: May 07, 2019"
It's either a scam or a horribly run…,It's either a scam or a horribly run business.  I never received a confirmation email but my credit card was charged. I could not reach anyone at Gala Hotels to find out if my reservation was legit or not.,"Date of experience: January 28, 2019"
Do not use GalaHotels.com,"Just like so many others I booked and paid for a room that was non existing when we arrived at the hotel (in Havana, Cuba). In my case I eventually got a refund a couple of months later, but after reading all all these reviews I understand that GalaHotels are nothing but scammers and there should be no place for them in this business.","Date of experience: July 31, 2019"
Scam,"Scam. Never provide your credit card number to this ""business"".I booked a hotel in Lisbon and prepaid the full amount through this company. On arrival at the hotel I was told that my reservation was cancelled by the travel agent and I had to pay for the stay in the hotel again.Galahotels only responded to the complaint with the ""We are looking into it"" but never actually said anything more. They did not cooperate with the bank when I raised the charge back request through the credit card company. They never made any steps to voluntary return my money.","Date of experience: April 04, 2019"
Gala Hotels trapped us,"Sadly, Gala Hotels did the same to us. We had booked a hotel in Vienna for our whole family. Of course we paid it normally. After what I heard about Gala hotel I contacted the hotel and replied that they were seeing my reservation on their system but they were canceled. In my question who made the cancellation did not give me any more information. I have necessarily re-booked the hotel more expensive this time from the hotel's official website and contacted my bank for a refund of my money.I'm very nervous with them.Can you recommend reliable websites to make my future bookings please?","Date of experience: February 15, 2019"
The price seems too good to be true because it is....this is a fraud company!,"Complete fraud.  As similar people have stated, I made my reservation, showed up at the hotel and they informed me that gala hotels cancelled my reservation a few weeks after the reservation was made.  As with others, they did not refund my money.  I have tried contacting customer service without satisfaction.  Would not recommend booking through here to anyone.  The reason their prices beat everyone else's is because they are not a real company actually making bookings","Date of experience: February 13, 2019"
Scam do NOT book through these Theives,Scam do NOT book through these Theives. Booked a hotel in Venice in September for last week. I confirmed with the hotel in Dec to make sure reservation was ok after reading some bad reviews. Hotel confiremd all was well. We turned up at the hotel on Sunday to be told reservation had been cancelled by Gala hotels. I have tried customer services in both the uk and Italy but the numbers no longer work. I will contact credit card company tomorrow but hold little hope as transaction was so long ago. Please do not book with this company.,"Date of experience: April 14, 2019"
Scammers,Booked a hotel through Gala Hotels. Arrived at the hotel to find out that my booking had been cancelled. Of course my credit card was never reimbursed. The hotel supervisor told us that this happened often with other customers that had booked with Gala. They don't answer emails. They are Scammers. Stay clear of this booking agency.,"Date of experience: July 03, 2019"
Booked 3 nights through Gala Hotel at a…,Booked 3 nights through Gala Hotel at a Novotel in London. They sent me a confirmation voucher and took my payment but when I got to the hotel the receptionist said they had never received my reservation and I had to pay the hotel directly to secure my stay. I tried to call GalaHotel on their 2 landlines but both are dead. Novotel said it is not the first time clients tried to book them through that platform and the hotel never received the bookings or the money for it. Their head office complained and tried to stop them for advertising their hotels but they carry on doing so illegally. I am in the process of disputing my payment through my credit card issuer.,"Date of experience: January 25, 2019"
What a scam,"What a scam. I had not confirmed a booking but money was taken from my account. Wrote to galahotels but I am getting the same automatic acknowledgement every give minutes for the past two days. I have deleted over a hundred emails so far, but nothing is solved so i have to involve my bank. Robbers","Date of experience: January 24, 2019"
Galahotels.com is a fraud,"They are a fraud. They have a pattern of fraud operation that works like: 1. reserve and charge your card2. never send payment to the hotel 3. you arrive at the hotel and no reservation and have to pay to the hotel directly, you may assume that galahotels.com never charged you because often times, charge won't occur until you check in. 4. you forget to check your credit card transactions and you actually have paid twice for your hotel stay. 5. even if you discover there is duplicate charge and you file a dispute, galahotels will not admit it, refuse to refund and delay the dispute process.  They are a PAIN. I don't understand why they can be in business.","Date of experience: February 25, 2019"
FRAUDSTERS,"I have been a Fraud investigator for over 30 years and never thought I would be victim of a scam, but Gala Hotels have managed it.  Booked a hotel back in November 2018 in Thailand for one night near the airport for our last night before flying home.  When we got there we were told the booking had been cancelled on 18th December.  My online account with Gala showed it was still booked and I sent a message and they said they were looking into matters after I had had to book another room at nearly £70. Can't phone them and nothing back from them.  Will report to Action Fraud, but clearly no chance of getting my money back.  DO NOT USE THESE FRAUDSTERS","Date of experience: February 22, 2019"
This website is a shame,"Never trust Galahotels, this website is a shame. I had canceled two bookings far before the deadline and have never been refunded yet and the sole booking I kept has finally been cancelled too without any prior notification and I am still waiting to have my money back. These people are absolute fraudsters, beware.","Date of experience: February 21, 2019"
Sadly this is a total fraud and scam…,"Sadly this is a total fraud and scam website. They even call you back to know why didn't you complete the booking process if you begin the process but interrupt it. They then convince you to book with them, and once you have you fall in their trap! They go through many different facade agents, who operate on their behalf and book the selected hotels, only to cancel those same bookings few days after.They never book directly and go through a chain of intermediaries who book with no payment. I got taken for almost 1000€ in December and had to cancel my family vacations. No recourse is possible despite lodging an official complaint since they're out of the EU. Someone needs to sue them in Turkey directly. DO NOT BOOK THROUGH THEM. THEY ARE A SCAM! REPORT THEM!","Date of experience: February 27, 2019"
This company is fraudulent,"This company is fraudulent! We booked through Trip Advisor and went straight to Gala. Booked a room and our credit card was charged 547+ for the reservation, the very next day we needed to cancel. Was well in the correct time frame for cancellation . Fine print says allow up to 21 days for a cancellation refund and it’s niw been 2 months and we have never been refunded our money!😡There’s NO way to contact this company . No response to emails and ALL phone numbers are fake and say not in service. It’s a complete SCAM! Spread the word about Gala.com.","Date of experience: January 29, 2019"
GALAHOTELS.COM IS A SCAM,GALAHOTELS.COM IS A SCAM We arrived at the hotel we had booked through this company to find out that the booking had been cancelled 1 month after we made the booking without any communication made to us. They had taken the payment in full at the time of the booking and had not made any refunds even though they had cancelled the booking. I have now seen many other reviews online of the same nature and wish i had seen this before i chose to use the company.,"Date of experience: April 10, 2019"
do not buy anything at galahotel I made…,do not buy anything at galahotel I made a reservation from December 24 to 26 at the hotel sercotel experience Cayo Santa Maria Cuba and they charged me my money and they did not make the reservation. in the end they cheated me and galahotel does not want to answer me and they do not return my money. I have denounced it with the bank and on TripAdvisor do not buy anything at galahotel they are scammers,"Date of experience: January 24, 2019"
This company is a fraud,"This company is a fraud, they canceled booking on 22 DecemberThe company is based in Turkey and they have parent site Leonardo Travel, which site is still active. Contact your credit company ASAP and raise a case against them","Date of experience: January 29, 2019"
Gala Hotels is the online booking arm…,"Gala Hotels is the online booking arm of Leonardo Travel and Bernardo Travel Istanbul Turkey which are bankrupt. They have failed to pay the hotel wholesalers, usually Infinite Hotels (Accor subsidiary) who have had no alternative than to cancel the bookings as they are made by them on behalf of Gala and many other online booking agents. They also told me that they would do the same if any other Travel Retailers also failed to pay them.Infinite Hotels told me that they had not been paid and that Leonardo/Bernardo Travel were broke so that is why my booking was cancelled.I have booked with Gala since 2009 more than 80 nights and never had any problems or cancellations over this period.","Date of experience: March 01, 2019"
"Reservation was cancelled without our notice, cannot contact GalaHotels","We booked a holiday in Varadero, Cuba through GalaHotels on 1st of July, 2018. The price was charged immediately, and the confirmation was sent. Today, one week before our departure we found out by phoning the hotel directly that our reservation was cancelled. I have tried to confirm a late arrival with several emails to various addresses without any answer. I finally made a Customer service request, got a confirmation number, and the next thing I noticed was that I could not access my reservation; it was cancelled. Now the website is unavailable and the UK phone number is disconnected. This is a serious scam, or they have gone belly up. It seems you cannot trust the Turkish enterprise.","Date of experience: January 25, 2019"
I think its a scam- I'm not even sure…,I think its a scam- I'm not even sure how I made a booking on this site- must have popped out from a reputable site like my booking.com. I reserved two nights then canceled - I got a confirmation email but they have not refunded me.,"Date of experience: January 25, 2019"
UNBELIVABLE..,"UNBELIVABLE... How on earth is this company still active and able to advertise on the web, when they are clearly a bogus company. I myself got conned by this so called company back in December 2018when my hotel booking was cancelled. How many more people have to have their holiday plans ruined by these pieces of S..T, before something is done to stop them.","Date of experience: September 03, 2019"
GALAHOTELS ARE FRAUD!!!!,FRAUD!!!!I made a reservation with GALAHOTELS for Starfish Las Palmas from 28/01 to 05/02/2019. The money was taken from my accopunt 2 days later from reservation. I got to Varadero to know that my booking had been cancelled on the 18/12...I was never infromed and my money is still not refunded.I will procceed to justice if they continue to reply to me with an automatic reply...VERY BAD!!!,"Date of experience: February 08, 2019"
*Don’t use Galahotels!*,Don’t use this company!! Exactly the sameAs the other reviews!! No booking currently active! Luckily I don’t travel until September!!! Will be taking it up with my credit card company!!,"Date of experience: January 29, 2019"
VERY BAD EXPERIENCE DO NOT RESERVE WITH…,"VERY BAD EXPERIENCE DO NOT RESERVE WITH GALAHOTELS  have cancelled the reserve at Regent Hotel in Roma but the money of the stay was taken away from my bank account. Thei did not answer all the times I tried to connect with them, to ask the money back.When I arrived the Hotel they were not expecting me because it had been cancelled and I had to pay for the Hotel twice!DO NOT RESERVE WITH GALAHOTELSPRATAS","Date of experience: March 19, 2019"
I did book the hotel in New York via…,"I did book the hotel in New York via Gla Hotel , I was infromed that there was no bookign of mine  , and there was the cancellation from the Booking agent that Gala did not pay them. I had to make the new booking on my arrvail date and were chagred double. i tried to call and email , the website seemed to disappear. very bad and cheating website.","Date of experience: February 02, 2019"
SCAM,"SCAM! Do not even think about booking with this so called company. We booked a hotel in Barcelona through them in December 2018, arrived there on 27th May 2019 to be told that our room had been cancelled days after we booked it. To make matters worse we only had 120 days to claim our money back as we paid by debit card and that time has well and truly run out! Tell your, friends, family, neighbours and everyone else to steer clear. Thieving Turkish Scam!","Date of experience: May 31, 2019"
Do not book through Gala Hotels,"Do not book through Gala Hotels. Its a scam. I booked a one night stay at the London Hilton Angel Islington on the 5th December. When I got there, there was no room available. I have logged onto their site and made complaints, was told I would get a refund which has not materialized. The Gala Hotel website is now no longer available. Any advice from anyone out there about how I can get my money back?Who is behind this?","Date of experience: January 28, 2019"
Scam,"Scam. They charge your card immediately, 'make a reservation' for the hotel for you without telling the hotel that it has been paid. A month later, they cancel the reservation at the hotel without telling you anything. You arrive at the hotel and you are literally f***ked - there is no room booked for you, nor paid... Nobody from GalaHotels picks up the phone to help you. Some of their numbers are actually fake. DO NOT BOOK WITH THEM!","Date of experience: March 02, 2019"
If I’m being honest it deserves …,If I’m being honest it deserves  minimun stars. I can’t believe how rude the staff. They reply to your emails at the pace of a snail. There was no communication and I didn’t even get the product I that I paid for. Never ever shop with these scum bags because they reduced me to writing a review.,"Date of experience: March 03, 2019"
i was cheated by gala hotels like the…,"i was cheated by gala hotels like the above customers.do not trust gala...!!!!! i'm trying to contact them through phone , email ,  through cases on their websites but no answer!!!!they debited the accommodation  amount from my account but when i arrived at the hotel they didn't have any reservation with my name and i paid again the hotel in order to take a room!!!i was trying to contact gala but no answer!!i have the proof between ajax hotel and leonardo travel!!!ajax send them that they dont have any reservation with this booking most properly beacause gala didnt pay the hotel for the reservation or they cancel the reservation who knows....!!!! in the email leonardo travel asking ajax hotel if they have reservation in the name of georgiou and the hotel answer no and leonardo travel didnt make any action!!!","Date of experience: February 15, 2019"
The booking process this group is illegal and unethical,"The booking process this group participates in is illegal and people are getting ripped off all the time, unfortunately myself now included. I booked through booking.com which was my first mistake, as I always use Priceline or Hotwire. On the booking.com site, there was a link to Galahotels.com and I booked this hotel through that site. I got a confirmation #, the money was taken from my bank, and I was all set. I called Hotel Pennsylvania two days before the reservation to make sure I was set and they told me Galahotels canceled the reservation. This began a chain of debauchery. Galahotels played dumb, Hotel Pennsylvania played dumb, and booking.com played dumb. I was ripped off my $$$, nobody will take responsibility, and I will make sure all three parties will be outed here, everywhere, and with the Better Business Bureau, as a crime has been committed along with ridiculously unethical behavior. Go with Hotwire or Priceline. I've never been done wrong with them.","Date of experience: February 26, 2019"
Shower of shi*,"If I could give this company a minus I would. Booked a hotel stay in Rome for May this year for my 1st year wedding anniversary, emailed the hotel regarding collection from the hotel to be told that the booking was cancelled and no longer valid. £350 company has stolen and my bank has said it’s too late for claw back as it’s been over 120 days. Heart broken 💔","Date of experience: April 12, 2019"
Gala Hotels is a complete scam,Gala Hotels is a complete scam.  Booked a hotel room through them at Rome Hilton Fiumicino Hotel.They took my money and never booked the room.  Showed up with what Gala Hotels said was a confirmed reservation which the hotel had no record of.I have emailed them repeatedly without success.AVOID THEM LIKE THE PLAGUE.  DO NOT USE THESE GUYS UNDER ANY CIRCUMSTANCE.,"Date of experience: January 28, 2019"
Scam website.After arriving at the…,Scam website.After arriving at the hotel i was told my booking had been cancelled .No answer from the telephone number on  my paperwork .NEVER use this scam company.,"Date of experience: February 25, 2019"
Avoid this company!,"Please avoid this company!In dec. 2018 we booked a hotel in Granada, Spain (two double rooms) through Gala hotels. We got the confirmation of the booking immediately. A few weeks later, my bank account was charged for the stay. When we arrived at the hotel the 20 of March 2019 (date for our stay), we experienced that the booking had been cancelled back in december 2018.This was just after my bank account had been charged for the stay. We had not received any information about their cancellation. Luckily we got the two rooms, but we had to pay them once again at the hotel.The same day, I sent an e-mail to Gala hotels and claimed about their cancellation and behavior. I also claimed my money back.Untill today, I have not heard a word from Gala hotels.Regards Finn Skrabeklev, Norway","Date of experience: March 24, 2019"
SCAM I booked a hotel in Lisbon  for…,SCAM I booked a hotel in Lisbon  for tomorrow for our Easter break with my kids. The hotel was booked in October 2018. Yesterday I  logged in the website to check my booking and everything was fine. Today I logged again and my password didn't work. I tried to contact galahotels and the line was dead. I called my hotel and they told me my booking was cancelled in December. 12 hours before flying I realized we were scammed and didn't have a hotel to stay. I called my bank and they will refund the 600£ I paid.  Avoid this website. I am not sure how they still can operate online with so many people that have  been scammed,"Date of experience: April 14, 2019"
Scam artists --stay away,We booked a hotel in Miami on 14th Dec 2018 for Feb 2019. Gala took the payment on 17th December. When we arrived in Miami hotel we discovered Gala had cancelled the booking on 19th December. We tried contacting them but no reply by email or any of their phone numbers.They are a bunch of conmen. book at your pearl.We're hoping for a charge back on our card. Fingers crosses,"Date of experience: March 22, 2019"
I will NOT recommend GALA Hotels,I will NOT recommend GALA Hotels. They still owe me the refund for a cancelled booking since last year (Jan 2018). Despite my various emails nobody cares to respond. DO NOT ever make a booking through them.,"Date of experience: May 29, 2019"
Gala Hotel's are scamming Scum Bags!,"Booked a hotel room in Spain with this company on 25-11-2018 When i arrived at the hotel on the 25-02-2019, the hotel said there was no reservation for me.I showed them the Gala Booking booking confirmation & they said they have had trouble with this company in the past.They hotel receptionist looked into it and come back to me with printed out document Saying that there was a reservation made for me on the 25-11-2018 but that it had been cancelled on the 19-12-2018 by Gala Hotels.Gala Hotels had cancelled the booking without informing me or refunding me the £380 i had paid them.I then paid the Hotel Porta De Galleces a further 496 euros for the hotel room.I tried contacting the Gala Hotels emergency phone number +90 212 705 4858 when the matter first came to light but there was no answer.Since i got home i have again tried ringing the UK number on there web site + 44 20 3384 64 48 but it is constantly engaged.The matter is now being looked into by the credit card company i used to pay for the booking.","Date of experience: March 05, 2019"
I need a refund,"I need a refund! I missed my flight  Jan 16, 2019. Couldn't get anyone on the phone. Left a message so they could rearrange my airport pick-up for the next day, Jan 17,2019. They, instead, cancelled my hotel booking which was already paid for to GalaHotels . I could get no one on the phone. I had to pay again when I arrived at the hotel in Jamaica. I need a refund for funds paid to GalaHotels. I expected to lose money for the day that I missed my flight but not the total amount of our vacation because I informed them of my next day's flight.  GALAHOTELS DO THE RIGHT THING!","Date of experience: January 28, 2019"
Beyond bad,Beyond bad.  AVOID AT ALL COSTS.  I got suckered by this scam too for 3 nights in Munich.  I have also reported the company via reporting.actionfraud.police.uk/,"Date of experience: February 18, 2019"
