title,body,date,language,source
Our booking at kempinski hotel was that…,booking kempinski hotel standard room breakfast included however upon checking kempinski hotel informed booking room upon checking gala account noticed three cancelled bookings aware one confirmed booking room email confirmations received different booking ids included breakfast believe issues booking system made bookings ended paying breakfast,"Date of experience: March 19, 2018",en,Gala Hotel
Tha recptionis was amazing and the…,the receptionist amazing night porte incredible thanks making good time,"Date of experience: March 19, 2018",en,Gala Hotel
The only thing that we did not like…,thing like galahotelscom amount time took get cancellation refund even rebooted galla day cancelled booking took longer promised take of weeks refund ridiculous likely book galla,"Date of experience: March 18, 2018",en,Gala Hotel
I have used Gala Hotels now on ten plus…,used gala hotels ten plus bookings trouble booking,"Date of experience: March 18, 2018",en,Gala Hotel
Bad – unacceptable experience,bad unacceptable experience rude inadequate reception solve problems create incompetent,"Date of experience: March 18, 2018",en,Gala Hotel
staff rude,none hotel help customers need reception done job staff quite rude right level four stars hotel,"Date of experience: March 18, 2018",en,Gala Hotel
Don't expect to see your money again!,sadly lot reviewers said gala hotels dishonest company refund money despite terms conditions clearly stating bookings refundablethey ignore emails blame bank ultimately repay you credit card company process recovering money,"Date of experience: March 17, 2018",en,Gala Hotel
Not great experience,difficult communicate gala booking allowed select free airport pick one arrived airport collect us told rep happens time booking gala difficult position leave people arrive foreign country internet access,"Date of experience: March 17, 2018",en,Gala Hotel
I normally find using Gala Hotels quick…,normally find using gala hotels quick simple however reason occasion reservation duplicated website although immediately raised query 010317 seventeen days later still resolution gala hotelsalso booking made twin room a nights yet web site booking twindouble room telephone hotel ensure twin room,"Date of experience: March 17, 2018",en,Gala Hotel
Easy to book.,easy bookimmediate confirmation booking email confirming confirmation,"Date of experience: March 17, 2018",en,Gala Hotel
Lovely hotel,lovely hotel lovely area staff friendly enough bath emptied floordrain flooding bathroom,"Date of experience: March 17, 2018",en,Gala Hotel
"This hotel has clean, decent rooms and fine staff",hotel clean decent rooms small bathrooms someone less agile might find shower tricky negotiatestaff friendly smiling willingthe breakfast room busy early sometimes refills food table clearances little slow take place understanding staff work hard fastthe way take advantage hotels airport shuttle book direct hotel pisamover shuttle city efficient easy use,"Date of experience: March 17, 2018",en,Gala Hotel
Was booked into hilton blackpool for 3…,booked hilton blackpool a nights eth eth mar cd already paid due weather conditions cancel eth phoned hilton advised contact gala cancel tried numbers gala longer available put a mail away got hotel gala cancelled refund made use gala,"Date of experience: March 16, 2018",en,Gala Hotel
Lifts were a problem,lifts problem one working a included cleaners using lift trolley took space half little of hour bar times food times nothinggenerally needs total refurbishment,"Date of experience: March 16, 2018",en,Gala Hotel
international credit card charges,tad concerned first credit card denied second choice worked fine immediately got notice cd company international charge processed want aware booking company located turkey luckily card used didst international charge fees call hotel afterwards insure legit reservation everything worked,"Date of experience: March 16, 2018",en,Gala Hotel
"In the city center,",city centerclean,"Date of experience: March 16, 2018",en,Gala Hotel
The upgrade and refurb is top notch,upgrades refurbishments top class would definitely stay,"Date of experience: March 16, 2018",en,Gala Hotel
Very friendly and helpful personal,friendly helpful personal everything clean copy would like come back,"Date of experience: March 16, 2018",en,Gala Hotel
Very slow in processing refund!,booked two rooms cancelled one january with last day cancel march st still received refund contacted customer service online february eth emailed back gave case id said would receive refund within of business days would march with still received refund question legitimate business case horrible customer servicejust received refund finally month half,"Date of experience: March 15, 2018",en,Gala Hotel
Very well kept in a very good…,well kept good positional staff friendly help enquiries,"Date of experience: March 15, 2018",en,Gala Hotel
Very busy hotel,busy hotel efficient well served winston helpful although hotel busy spent much time needed,"Date of experience: March 15, 2018",en,Gala Hotel
Good location,good location nice atmosphere showers like cruisers small managed live,"Date of experience: March 15, 2018",en,Gala Hotel
Was the perfect decision to stay in…,perfect decision stay wonderful hotel perfect servicewonderful people working friendly helpful everywhere clean best food ever thank a team try mayo coco everything,"Date of experience: March 15, 2018",en,Gala Hotel
"I book with ""precaution"" rate I had to…",book precaution rate pay suppose insurance cancellation fact asked change one day booking see room hotel nothing done make happenings lost 200 top book room new checking dates disappointed see flexibility get automatic machine answer next go bookingcom much listening customers regardsolivier leblanc,"Date of experience: March 15, 2018",en,Gala Hotel
Again all went well,went well nothing amiss,"Date of experience: March 15, 2018",en,Gala Hotel
Great,great fast better prices bookingcom book soon,"Date of experience: March 15, 2018",en,Gala Hotel
Gala Hotels insisted that for a…,gala hotels insisted specific booking would even change name booking need travel understand terms conditions would business impact change name traveller even nonrefundable booking made ended travelling loose money resulting business trip could done without movement services obvious reason explanation first email answered correctly friendly second email answered low customer service booking site technically standard responses low st level customer service book gala hotels,"Date of experience: March 15, 2018",en,Gala Hotel
best price than the rest but not so…,best price rest good description hotels,"Date of experience: March 15, 2018",en,Gala Hotel
Nice room and the hotel is close to the…,nice room hotel close city railway station,"Date of experience: March 15, 2018",en,Gala Hotel
Helpful personnel as we arrived late…,helpful personnel arrived late 2300 able get access phoning number door comfortable beds main complaint lack hot even warm water time arrived awoke morning decided breakfast slept late almost end meals availability 1000,"Date of experience: March 14, 2018",en,Gala Hotel
The hotel is beatiful but unfortunately…,hotel beautiful unfortunately impossible open windows the room int clean,"Date of experience: March 14, 2018",en,Gala Hotel
I have a problem do I say how good this…,problem say good place keep self know able get room come london againpause thought inner buddha says share daughter stayed a night hidden jewel hotel kings cross a stops number of of bus a stop tube russell square russell square of minute walk around perimeter garden crutches momentous room a flight stairs lovely door opened small area separate bathroom front bedroom left room beautifully warm also well appointed small fridge tea coffee biscuits bottles water bed also television hair dryer bathroom big heated towel rail toiletry big shower bath bath towels big fresh hot towel rail nice wrap oneself inf want full english breakfast short walk road great hall self service buffet breakfast good choice food drink gripes couple small ones could see make sitting mirror bedroom to way whilst big mirror bathroom sit make girl like bath hot unfortunately a baths times despite turning tap hottest setting bath warm daughter rang first time thought something wrong water mid afternoon thought hot water maybe used however proved case bath am morning still hot water unfortunately reading bath either water hot enough bin bathroom could replaced rust marks paint door frame split peeling hotel pool of day membership health club availablewould gripes prevent staying would happily stay recommend friends lovely place staff quick try sort water answer queries a of water hot would of of xxx,"Date of experience: March 14, 2018",en,Gala Hotel
Good business.,received great service hospitality galahotels thank,"Date of experience: March 14, 2018",en,Gala Hotel
No contact slow refund,made booking stated references possible cancel reservation a minutes also stated cancellation possible till eth aprilcalled of times agent transfers talk answering machine contact creditcard company block payment possible cancel web siteplease stay away companyupdate 200318 got email refund of daysupdate 220318 hand papers credit card companies proof cancelled reservation sent email galahotels reply twill keep posted270318 receive credit note contact creditcard companybookingcom much professional anyhow lucky get money back,"Date of experience: March 14, 2018",en,Gala Hotel
The staff were fine and helpful,staff fine helpful room good comfortablethe breakfast layout standard average problem experienced access cards lift bedroom,"Date of experience: March 14, 2018",en,Gala Hotel
I am very satisfied with the booking…,satisfied booking gala hotel everything worked smoothly quick easy booking lucky get coupon code cheapest way book galahotel in happy,"Date of experience: March 13, 2018",en,Gala Hotel
Except the amazing location and the…,except amazing location beach rest terrible staff unwilling help want friendly neither professional food transportation expensive,"Date of experience: March 13, 2018",en,Gala Hotel
As soon as I booked a room from the…,soon booked room site card charged whole amounting month arrivalthe following day sent email noted room hotel amount paid would refunded a daysfollowing several discussions amount refunded of working day,"Date of experience: March 13, 2018",en,Gala Hotel
strictly   positive to  be improved,positive silent room helpful staff good location near metro station gallieninegative obliged change room twice first lava pipe leaks water second time television functioning acceptable experience need improve,"Date of experience: March 13, 2018",en,Gala Hotel
Nice Hotel,nice hotel good service excellent breakfast,"Date of experience: March 13, 2018",en,Gala Hotel
Very disappointed.,disappointedhad issue transfer shuttle mentioned included fare appeared latest moment notnearly missed flight jackpot professional customer service refused refund,"Date of experience: March 13, 2018",en,Gala Hotel
I cancelled my booking 02/12/2018 and…,cancelled booking 02122018 still received refund a weeks waiting stopped replying well trust company circumstances,"Date of experience: March 13, 2018",en,Gala Hotel
I booked a room for 2adults,booked room adults a child extra bed child reception said booked bad sharing invoice said mean like pay of eur child,"Date of experience: March 13, 2018",en,Gala Hotel
If I could rate 0 stars I would,could rate a stars would arrival hotel received booking pay last minute room website scam they've stolen 120 furious never use,"Date of experience: March 13, 2018",en,Gala Hotel
Bad decision...go direct to hotel,check directly hotel website first discovered making booking galahotels hotel 110 cheaper weekend included breakfast also tried take advantage promised pickup service airport hotel several calls gave never againeven bland reply review fill confidence service improve,"Date of experience: March 13, 2018",en,Gala Hotel
room has been double booked,room double booked us wrong address bill issued help hotel regarding,"Date of experience: March 13, 2018",en,Gala Hotel
Excellent place,excellent place clean rooms good service pleasant staff graded a stars,"Date of experience: March 13, 2018",en,Gala Hotel
It's  an convenient hotel,convenient hotel close central station tivoli street boulevard full of restaurants shops staff nice helpful perfect overnight copenhagen,"Date of experience: March 13, 2018",en,Gala Hotel
Very bad experience,bad experience whit site friend mine day booked similar room 260 euros instead 365 eurosalso booking checked booking cost 115 euros less will never used site anymore,"Date of experience: March 12, 2018",en,Gala Hotel
Where was the transfer,transfer 70cuc spent wasted a hours looking transfer arrived cuba ended paying taxis airport thank gala,"Date of experience: March 12, 2018",en,Gala Hotel
Service was quick and professional,service quick professional would appreciated update customer service lost confirmation,"Date of experience: March 12, 2018",en,Gala Hotel
NO customers service skills,costumer service horriblethe people bar pool rude travel cancun a times already people much friendly room smell done put towels beach first day ask everyone hotel treat us rudeness done understand work client resort done patience stand plus speak spanish want language barriers done recommend hotels worst nightmare vacations,"Date of experience: March 12, 2018",en,Gala Hotel
Effortless *****,easy book done minutes effort required,"Date of experience: March 12, 2018",en,Gala Hotel
room was spacious and well decorated,room spacious well decorated staff helpful professional check,"Date of experience: March 11, 2018",en,Gala Hotel
Family holiday.,nice hotel good restaurant bar close center using tram of reach center within a install staff speak english ready help,"Date of experience: March 11, 2018",en,Gala Hotel
Easy to use and responded to questions…,easy use responded questions quickly,"Date of experience: March 11, 2018",en,Gala Hotel
Great hotel,great hotel good service good breakfasts money worth,"Date of experience: March 11, 2018",en,Gala Hotel
Hotel needs maintenance,hotel needs maintenance poor wifi connection bathtub clogged food restaurant overchargedthe employees nice tried solve problemsill never stay,"Date of experience: March 10, 2018",en,Gala Hotel
service was a little bit slow,service little bit slow everything alright,"Date of experience: March 10, 2018",en,Gala Hotel
Misleading and confusing,sent email see booking okay a months still nothing booking confirmation still says pending in already back trial hostel received entirely different type room booked hostel receptionist want nice guy give us free upgrade stay would terrible would recommend write galahotels use,"Date of experience: March 10, 2018",en,Gala Hotel
"Very nice hotel I enjoy myself,thanks…",nice hotel enjoy myselfthanks,"Date of experience: March 09, 2018",en,Gala Hotel
Short stay in Salou,comfortable clean room enjoyed stay hotelregards theomarlene,"Date of experience: March 09, 2018",en,Gala Hotel
scam checkin,arrived check ibis birmingham knowledge reservation handed email print booking dawn made reservation via gala even though googled ibis birmingham took twenty minutes hotel trace booking malthus although hotel helpful great place stay gala rather underhand tactics receive bookings gets generous one star performance,"Date of experience: March 09, 2018",en,Gala Hotel
I got a significant charge from my bank…,got significant charge bank galahotels based outside europe fee saved booking,"Date of experience: March 09, 2018",en,Gala Hotel
Was a bit confusing to book the hotel,bit confusing book hotel information rooms confusing,"Date of experience: March 09, 2018",en,Gala Hotel
Bad service,bad service booking till money refund tried call many times answer,"Date of experience: March 09, 2018",en,Gala Hotel
They need to sort out the refund department and till they do be careful.,happy use company although cancelled booking inside free cancellation window penny repaid almost a weeks later say processing refund take long replies emails many apologies promises money yet good company would sorted weeks another main respondent someone called usameassy well telling use a way laugh expensedont know get refund promised faith honesty company keep informed finally pay owe prices fair would like use company need sort refund department first,"Date of experience: March 08, 2018",en,Gala Hotel
Don’t book! Very bad company!!!,a months hotel cancellation still money back gala hotel scam company answer emails contact don't book,"Date of experience: March 08, 2018",en,Gala Hotel
Disappointed paid for accommodation…,disappointed paid accommodation twice received email gala hotels say would refund money weeks later still awaiting refund,"Date of experience: March 08, 2018",en,Gala Hotel
Gala Hotels took an additional payment…,gala hotels took additional payment credit card 155gbp impossible speak refund avoid costs,"Date of experience: March 08, 2018",en,Gala Hotel
"What’s worse, the kid or his mother?",great location travelling train friendly reception good breakfast inexpensive however carpeted rooms wild child room ruined nights sleep called front desk a times peace restored worse mattress soft got bad backache,"Date of experience: March 08, 2018",en,Gala Hotel
We paid and the hotel told us we cannot…,paid hotel told us cannot inter hotel credit card west money group thieves,"Date of experience: March 08, 2018",en,Gala Hotel
I've slept in the hostel for one night…,live slept hostel one night mph stay issues,"Date of experience: March 08, 2018",en,Gala Hotel
Don't under any circumstances book with galahotels.com or vanillatours,done circumstances book company check try logging website vanillatourscom also try calling single phone number see get message voice mail box longer service also try emailing customer service email info address message bounce back made reservation put wrong name tried calliope tried send message contact formnope tried email info addressnope called every single phone number every single country listednope charged credit card several additional rooms booking done know going company legit show triage book call hotel reservation something happening virtually and mean customer service credit card company disputing charges extra rooms,"Date of experience: March 08, 2018",en,Gala Hotel
good place clean and full of services,good place clear full services,"Date of experience: March 07, 2018",en,Gala Hotel
be4ing a regular customer of Galahotels…,being regular customer galahotels enable say going use services,"Date of experience: March 07, 2018",en,Gala Hotel
Its a decent hotel with good customer service,decent hotel good customer service care cleaners cleaned rooms every day polite hotel good location various shopping malls around hotel,"Date of experience: March 07, 2018",en,Gala Hotel
Impossible to contact to rearrange…,impossible contact rearrange booking confirmation booking advice deal,"Date of experience: March 07, 2018",en,Gala Hotel
They give one price but yet they charge…,give one price yet charge money you'll get see paid that real deceptive wont using company,"Date of experience: March 06, 2018",en,Gala Hotel
Bad application,bad application first asked enter credit card data received email question enter data againbecause thought scam stopped dit trust site however charged hotel emailed got reply using site anymore spreading word,"Date of experience: March 06, 2018",en,Gala Hotel
Easy to Book & Confirm,easy book competitive prices rates,"Date of experience: March 06, 2018",en,Gala Hotel
Very Pleased,amazing stay could fault aspect trip,"Date of experience: March 06, 2018",en,Gala Hotel
SUPERB,staff great great room certainly complaints,"Date of experience: March 06, 2018",en,Gala Hotel
Good and not so good,pluses good location price breakfastminuses rather small double standard room good ventilation parking bad lighting near mirror bathroom,"Date of experience: March 06, 2018",en,Gala Hotel
Excellent hotel well placed for the…,excellent hotel well placed centre birmingham rail network stylish clean rooms comfortable beds provided everything needed two night stay,"Date of experience: March 06, 2018",en,Gala Hotel
Just what we expected,expected fine wanted,"Date of experience: March 06, 2018",en,Gala Hotel
comfortable room,comfortable room expensive dining best service restaurant best location,"Date of experience: March 06, 2018",en,Gala Hotel
Could do better,could better email confirmation sent confirming booking reenter site print voucher voucher showed incorrect name contacted galahotels amended said couldn't however girl desk hilton able easily also contacted galahotels ask incorrect name would affect booking didst answer question,"Date of experience: March 06, 2018",en,Gala Hotel
The service was not bad but the hotel…,service bad hotel room little run bath tub dirty food expected either worth expected lot,"Date of experience: March 06, 2018",en,Gala Hotel
I have been trying to cancel my…,trying cancel reservation week impossible get hold anyone charged extra fees aware never boom thru disappointed call hotel gave another number return couldn't find number needed call given email one ever responded back ended calling bank first bad review anything usually find something positive forget bad experience however feel needs bad review seen first problem,"Date of experience: March 05, 2018",en,Gala Hotel
They never answered their phone when I…,never answered phone tried cancel reservation tried leave voicemail hung unable zero customer service,"Date of experience: March 05, 2018",en,Gala Hotel
I needed to cancel this booking as…,needed cancel booking red weather warning ireland unessential travel cancelled tried reset customer password numerous times website forgot used never received link unable manage booking online tried phone company three times time call ended message service available number finally sent email day due stay hotel cancel still received reply really bad service would use website,"Date of experience: March 05, 2018",en,Gala Hotel
Wouldn`t use again,booking hotel charged of rate screen started badly tried contact gala query tried several occasions hold ages finally got told would need ring back one could help decided cancel booking paid extra protection looked cancelling booking said cancellation cover didst actually get stay hotel due snow wouldn't use due booking system stayed bookingcom wouldn't lost full payment,"Date of experience: March 05, 2018",en,Gala Hotel
the worst customer service ever,worst customer service ever would never book via galahotelscomagian,"Date of experience: March 05, 2018",en,Gala Hotel
"Friendly, helpful staff.",good stay staff really helpful friendly nice breakfast good clean quiet room good value money,"Date of experience: March 05, 2018",en,Gala Hotel
This is not and never a 4* level of…,never a level quality fine hotel would a definitely regards,"Date of experience: March 05, 2018",en,Gala Hotel
To less information around extr costs,less information front resort feet included las vegas used service asked around of per night onside,"Date of experience: March 05, 2018",en,Gala Hotel
"No invoice, booking not in my account",booking of sent invoice right away trying retrieve one account booking show contact customer service completely needless next time use professional platform,"Date of experience: March 05, 2018",en,Gala Hotel
Gala Hotels Completely inconsiderate company!!!,completely inconsiderate company two appeals cancelling booking due event cancellation refund credit note offered event postponed even current red alert south wales regarding road travel could get hotel closed answer phone,"Date of experience: March 04, 2018",en,Gala Hotel
All worked as promised,worked promised including free transfer airport hotel called jumbo tours varro referred booking or gala hotels told recognise relationship booking or start a valid question transfer hotel airport also included could arranged 330 pm thursday march eth answer since relationship with gala hotels please comment robert tammstaying mar del sur hotel varadero,"Date of experience: March 04, 2018",en,Gala Hotel
Unhappy,use reservation opinion however try email a different email addresses phone a different numbers reply attempts reach hotel due adverse weather conditions madeira husband flight porto cancelled wanted cancel hotel ask refund circumstances happy difficult reach hotels,"Date of experience: March 04, 2018",en,Gala Hotel
"And next time same, with Gala hotels !",enjoyed every moment holiday aviation village,"Date of experience: March 04, 2018",en,Gala Hotel
Quality Service,first time using gala wont last easy use offer great values variety properties excellent including many found travel sites customer service excellent highly recommend,"Date of experience: March 04, 2018",en,Gala Hotel
Nice hotel.,although rooms small like big city hotel service wonderful staff helpful ready willing answer questions book tours give directions generally nice,"Date of experience: March 04, 2018",en,Gala Hotel
Beautiful hotel and setting.,hotel lovely many amenities staff always gracious helpful complaint big one us fact option breakfast of europe buffet eat little morning would liked coffee perhaps toast option offered room service ordering coffee room service incurred 650 charge addition coffee stayed hotels world never found one didst least coffee bar morning would urge kempinski hotel consider possibility,"Date of experience: March 04, 2018",en,Gala Hotel
on F ebruary 26th 2018 I rang the…,of february with 2018 rang perjury hotel say would taking booking marcy st told could reimbursedthis annoyed greatly stayed previously family members number occasionsneedless say staying perjury future,"Date of experience: March 03, 2018",en,Gala Hotel
Had to postpone travel plans due to…,postpone travel plans due adverse weather conditions understood wouldn't able cancel reservation disappointed couldn't rearrange,"Date of experience: March 03, 2018",en,Gala Hotel
Overall we were well pleased with our…,overall well pleased recent trip liner hotel liverpool found staff service efficient friendly helpful rooms nice clean comfortablethe negative trip breakfast cooked food best luke warm,"Date of experience: March 03, 2018",en,Gala Hotel
BAD!!!,use site reservations 2011 every time used services good one opinion december 2018 bad thing happened made reservation hostel wien night december 2223 2018 month middle november received confirmation a days took money accountwhen arrived hotel evening december of saturday informed staff reservation cancelled email received sta travel operator used galahotels tried contact galahotels contact numbers istanbul london discovered turk number service english one person answer working time called sta travel operator said yes money took account someone unknown cancelled reservation closed phone happened two times a different persons pay reservation opened case site cas192094c8f7b8until answer list cases erased news use site galahotelscom reservations,"Date of experience: March 03, 2018",en,Gala Hotel
Took payment did not book hotel,took payment book hotel needed pay hotel also,"Date of experience: March 03, 2018",en,Gala Hotel
Flight cancellation,stay hotel flight cancellation way reach stuttgart reasonable timeunfortunately must pay 737 euro whole stay a night know cancellation policy say could cancel of days departure hotel director think major issue happened could reduce price pay standard rating opinion 350 euro per night unfairjust bad luck experience,"Date of experience: March 03, 2018",en,Gala Hotel
Service with hotel bookings worked…,service hotel bookings worked smoothly nicely always,"Date of experience: March 02, 2018",en,Gala Hotel
only stayed the 1 night,stayed a night great rates friendly staff comfortable bed close stadium plenty shops around including test express,"Date of experience: March 02, 2018",en,Gala Hotel
Enjoyed my stay,enjoyed stay staff helpful definitely stay totally would recommend hotel good place stay,"Date of experience: March 02, 2018",en,Gala Hotel
Hotel was a great price and would give…,hotel great price would give a starsbut free one way transfer let down booked transfer voucher printable,"Date of experience: March 02, 2018",en,Gala Hotel
Lack of communication,arrived hotel booked a hours earlier hotel knowledge booking,"Date of experience: March 02, 2018",en,Gala Hotel
as previous stays here ideal location…,previous stays ideal location airport free parking rooms of look little tired wifi works well easy get connected gripe would low water pressure shower,"Date of experience: March 02, 2018",en,Gala Hotel
"Appalling Experience, Avoid at all Costs",sure came make booking galahotelscom experience never ever use due weather conditions event attending called therefore tried cancel booking firstly called maldon hotel dublin airport thought booking made directly however transpires booking gala hotels informed booking sta lot calls back fore ascertain references eventually informed booking special tours of hours start end decided way going accept cancellation issue refundable parties including ryanair sympathetic refunded expense continue use gala hotels avoided need review customer care policies,"Date of experience: March 02, 2018",en,Gala Hotel
Shockingly bad customer service,shockingly bad customer service never ever use againtried contact sunday avail request extension cancellation timeframe due bad weather forecast ended ringing hotel direct said actually pm day arrival cancel without charge however dismissive email gala confirmed two days arrival missed opportunity cancel would charged fellas matter principle didst cancel clearly gala would take money knowing could cancel hotel charge would get whole cost disgusted genuinely able travel due really bad weather driving conditions actually advised authorities travel event wouldn't got yet allowance made gala even though hotel would accepted much later cancellationzero customer service could given zero stars wouldnever ever againupdate read absolutely pathetic reply speaks volumes,"Date of experience: March 02, 2018",en,Gala Hotel
ID 21017973,id 21017973id21018007the first cancelled a wesson cash refund,"Date of experience: March 01, 2018",en,Gala Hotel
Very clean and close to city centre,clean close city centre staff polite helpful things didst like sauna swimming pool of euros fee per day want use naked service room charge a euros bring food room,"Date of experience: March 01, 2018",en,Gala Hotel
ROOMS,room properly arranged washing bin room bathroom room insulation poor,"Date of experience: March 01, 2018",en,Gala Hotel
on entering very warm reception,entering warm reception hotel clean staff helpful good breakfast stayed a night stay close everything,"Date of experience: March 01, 2018",en,Gala Hotel
The staff is very nice and friendly und…,staff nice friendly and restaurant great,"Date of experience: March 01, 2018",en,Gala Hotel
Letdown by Galahotel,booked room a nights london february day would arriving late rang hotel alert told booking galahotel confirmation meant nothing contact gala responded phone number would connect response email book central reservation travelogue classed late booking super expensive stressful bank looking,"Date of experience: March 01, 2018",en,Gala Hotel
don't trust your booking agent because he will make you looser,didst anymore agent trusting doesn't deserve trusting arrived barcelona hotel colonial informed booking changed another hotel hotel worst hotel looked life front martini hotels worst booking next time never ever get choose galahotels,"Date of experience: March 01, 2018",en,Gala Hotel
By far the cheapest on NET…Gala hotles where quality costs less,looking hotel disneyworld parishes cheapest booked read reviews worried lies booked great hotel tip top paid much cheaper others always used bookingcom since travel lot first time tried somebody else right go,"Date of experience: February 28, 2018",en,Gala Hotel
see below email i have had to send gala…,see email send gala hotelsdear onurfurther conversation booked hotel guys paid november booking reference 20539214 took 1100 booking confirmation booking a weeks prior stay phoned talked assured booking followed following email dear daniel hope you've got hotel confirmation number send one mail case also reply great hon 423e36 daniel 423e37 daniel 423e38 james best regardswhen got hotel night stay evidence booking pay hotel 1500 book room late noticeoviously frustrated stay phoned guys immediately request refund 1500 pay due making booking hotel us assured within couple days would refund would sortedsuprise surprise week heard nothing heard nothingwhere refund happening caseplease tell formal complaints procedure want problem escalated highest level management available demand reply email immediately disgraceful customer service contacting trading standards money back end mankind regardsdan,"Date of experience: February 28, 2018",en,Gala Hotel
It was a great experience with gala…perfect experience,great experience gala hotel everything perfect excellent price best found net sure recommended travellersand reserve gala hotel,"Date of experience: February 28, 2018",en,Gala Hotel
Misguided,booked galahotels yesterday afternoon last night received email cancelling booking even though taken money cannot get anyone hotel record booking hotel site misguided taken payment despite number emails subsequent phone calls today response therefore leave prospective customers draw conclusions validity online booking site,"Date of experience: February 27, 2018",en,Gala Hotel
Very Unhappy,unhappy told free transfer airport hotel nobody collected us wrote emails gala hotels service hotel booked nobody answers finally took taxi extremely unprofessional,"Date of experience: February 27, 2018",en,Gala Hotel
Horrible customer experience,paid 326 dollars one night roosevelt hotel new orleans galahotels hotel never received booking charged night impossible get agent phone response email asked refund contact hotel brigitte,"Date of experience: February 26, 2018",en,Gala Hotel
Everything was perfect!,everything perfectthank,"Date of experience: February 26, 2018",en,Gala Hotel
No problems,problems everything fine good hotel good price,"Date of experience: February 26, 2018",en,Gala Hotel
Not very clear,realize could edit booking call hotel said booking ord party gala hotels hard track booking informationconfirmation confusing experience issue though actual reservation hotel file good price,"Date of experience: February 26, 2018",en,Gala Hotel
Nice large new flat with modern design. Reception closed during night.,nice large new flat modern design far tramway go city center foot of minutesnobody night welcome clients you've guess night reception platinum building could useful information stick entrance oxygen residence,"Date of experience: February 25, 2018",en,Gala Hotel
Excellent!!!,excellent family definitely come back ala mana hotel recommend place family friends,"Date of experience: February 24, 2018",en,Gala Hotel
The central heating system wasn't operating,central heating system want operating electric oil filled radiator brought even weather want cold heating system operated,"Date of experience: February 24, 2018",en,Gala Hotel
You get what you pay for bed was…,get pay bed comfortable thrills room box within box of one night,"Date of experience: February 24, 2018",en,Gala Hotel
Wonderful hotel in a marvelous place,wonderful hotel marvellous place else,"Date of experience: February 24, 2018",en,Gala Hotel
very easy,easy reliable,"Date of experience: February 24, 2018",en,Gala Hotel
best prices on the internet,excellent service best prices internet even betterctgsn kayak majors,"Date of experience: February 24, 2018",en,Gala Hotel
reservation costs is lower than in…,reservation costs lower another reservation systems,"Date of experience: February 23, 2018",en,Gala Hotel
Excellent booking,excellent booking efficient straight forward hotel excellent received graded room,"Date of experience: February 23, 2018",en,Gala Hotel
Needed a reasonably priced hotel in…,needed reasonably priced hotel central london really good helpful staff close public transport good standard cleanliness really pleased would book,"Date of experience: February 23, 2018",en,Gala Hotel
It was great,great went fast,"Date of experience: February 23, 2018",en,Gala Hotel
Good,good easy reservation process frills,"Date of experience: February 23, 2018",en,Gala Hotel
I used Gala through Trivago,used gala triage great saved original price despite completing booking received email link original booking original price even though price triage gone of following morning happy thank,"Date of experience: February 22, 2018",en,Gala Hotel
Fine hotel,room st floor bit cold winter breakfast solid location also good staff kind helpful,"Date of experience: February 22, 2018",en,Gala Hotel
Comfortable stop over,gala staff gave us good welcome friendly efficient helpful restaurant pleasure tables tidied cleaned quickly quietly time entered looked inviting food tasty well presentedthe room spotless well supplied amenities,"Date of experience: February 22, 2018",en,Gala Hotel
Do not book through this company!! Avoid like the plague,book company problems details googled hundreds trip advisor reviews saying fraud a call card company also shut case saying want clear enough reopen case tried wont let wont let open new one emails reply call centre hangs well gala hotels think getting away another thing coming review anywhere twitter facebook trustpilot tripadvisor regret day tried take money freebase tried open shut first one cannot believe shut case gave reason please write request clearly clear enough booked hotel last night took money emailed today say moving hotel cannot move hotel need airport grounds hence booked hotel tried calling call centre half a finished work first time picked option a got hung second time picked option a got hung also called another number site kept telling press star number didst voicemail kept repeating message pressed star opening hours supposedly a panicking need hotel room airport friday done get response soon book another hotel airport end go bank put charge fraud paid one thing trying give another cannot get contact calls cases shut need reply asap unsatisfied customer,"Date of experience: February 21, 2018",en,Gala Hotel
A perfect holiday for the best value,perfect holiday best value first time use galahotels next time search good hotel deals sure remember include gala research,"Date of experience: February 21, 2018",en,Gala Hotel
Terrible!,terrible emailed several times response a response receive made sense transfer included body pick terrible use,"Date of experience: February 21, 2018",en,Gala Hotel
The worst experience in my life. Dont travel with this company,informed galahotelscom transfers airport hotel included allinclusive prices informing company 510 times 520022018 flight details didst receive voucher transfers varadero airport bus didst take galahotelscom didst book transfers mambo tour representatives never showed contacted via phone airport couldn't help meat end pay 2x30 euros extra taxis 100 euros phone callsinternet contact supplier us cuba arrival sunbeam hotel invaradero also showed stay booked double sell rooms spent a days hotel lobby get rooming order get room contact embassy havana resolve problem staff galahotelscom couldn't help a days offered of euros discount next trip lost 160euros was ridiculous done recommend supplier anyone vouchers transfers visible providing flight detailsthe information provided galahotelscoms website true,"Date of experience: February 21, 2018",en,Gala Hotel
NEVER AGAIN! Watch out!,got hotel confirmation voucher gala hotels find booking made place stay tried calling offices would go straight voice mail hangs left stranded middle holiday never,"Date of experience: February 21, 2018",en,Gala Hotel
Cancelled booking with these,cancelled booking answer phones,"Date of experience: February 21, 2018",en,Gala Hotel
