title,body,date
The add-ons are way too high,The add-ons are way too high.  The advertised rates are consequently very misleading.,"Date of experience: December 14, 2024"
Easy and straight forward to use the…,Easy and straight forward to use the booking system.,"Date of experience: December 07, 2024"
Simple website,Simple websiteEasy to navigateThank You,"Date of experience: December 08, 2024"
Very easy and intuitive!,No body text,"Date of experience: December 22, 2024"
Easy Booking,"Great options, easy bookings.","Date of experience: December 13, 2024"
Site was clear and logical plus did not…,Site was clear and logical plus did not jump around.,"Date of experience: December 09, 2024"
Ease of reserving and clear instructions,Ease of reserving and clear instructions,"Date of experience: December 08, 2024"
real easy to understand and book and…,real easy to understand and book and ratesgreat,"Date of experience: December 06, 2024"
Easy to do,Easy to do. All info needed was there.,"Date of experience: December 23, 2024"
alls fine easy booking .,No body text,"Date of experience: December 20, 2024"
Extremely easy on line booking.,Extremely easy on line booking.,"Date of experience: December 09, 2024"
Easy website to use,No body text,"Date of experience: December 20, 2024"
Most user friendly site I've dealt with…,Most user friendly site I've dealt with ina while!,"Date of experience: December 19, 2024"
Easily to navigate,"Easily to navigate, loved it!!","Date of experience: December 13, 2024"
went very quickly  easy to understand…,went very quickly  easy to understand everything,"Date of experience: December 06, 2024"
Comfortable,Always professional and courteous. Staff are friendly and always helpful.,"Date of experience: November 27, 2024"
Easy and quick to reserve.,Easy and quick to reserve.,"Date of experience: December 19, 2024"
Easy to navigate!,No body text,"Date of experience: December 18, 2024"
efficient and simple booking,No body text,"Date of experience: December 19, 2024"
Easy peasy wonderful to work with,No body text,"Date of experience: December 09, 2024"
Made reservation easily on website,Made reservation easily on website. Clear pricing and availability. Thank you!,"Date of experience: December 08, 2024"
Easy,"Easy, no problem, done in about 2 minutes","Date of experience: December 16, 2024"
The Montague booking,Very easy website to nvigate,"Date of experience: December 09, 2024"
Easy to complete,No body text,"Date of experience: December 17, 2024"
Easy peasy site to navigate.,Easy peasy site to navigate.Thank you.,"Date of experience: December 09, 2024"
Used your phone to make reservation but…was guied to another travel agencdy. They did not tell me they were another company.,Used your phone to make reservation but was guied to another travel Agency.,"Date of experience: December 05, 2024"
It was very easy to do and very…,It was very easy to do and very user-friendly,"Date of experience: December 17, 2024"
Outstanding customer service and…,Outstanding customer service and business!,"Date of experience: December 24, 2024"
Easy,"Easy, peasy, Japanesey","Date of experience: December 26, 2024"
All went according to plan,All went according to plan. No surprises.,"Date of experience: December 05, 2024"
Super easy booking!!,No body text,"Date of experience: December 17, 2024"
Holiday stay,Easy to use when making a reservation,"Date of experience: December 09, 2024"
Easy to read and understand,No body text,"Date of experience: December 12, 2024"
Easy booking,Easy booking,"Date of experience: December 14, 2024"
Well it was fast and easy but the price…,Well it was fast and easy but the price wasn’t what was said to be!,"Date of experience: December 14, 2024"
Ease and clarity,No body text,"Date of experience: December 16, 2024"
Very easy to navigate site.,No body text,"Date of experience: December 07, 2024"
Easy to complete the required…,Easy to complete the required information,"Date of experience: December 19, 2024"
Great website,Great website. Easy booking.,"Date of experience: December 04, 2024"
Easy to navigate and book,No body text,"Date of experience: December 07, 2024"
Easy to use booking process,No body text,"Date of experience: December 04, 2024"
Beautiful and clean,No body text,"Date of experience: December 11, 2024"
Very easy to navigate this site and…,Very easy to navigate this site and easy to book,"Date of experience: December 05, 2024"
Easy process to book.,Easy process to book.Quick and basic for our needs.,"Date of experience: December 06, 2024"
Simple,"Simple, easy ptocess","Date of experience: December 13, 2024"
Easy and fast!,No body text,"Date of experience: December 25, 2024"
I have just made a booking for the…,"I have just made a booking for the Sebel Mandurah, I live in Australia I booked a price of AUD$1656. And have been charged US$2291.71 this is wrong, and fraudulent","Date of experience: December 04, 2024"
No hassles whatsoever,No body text,"Date of experience: December 13, 2024"
The ease of booking rooms is so nice.,The ease of booking rooms is so nice.Thank you,"Date of experience: December 12, 2024"
Quick response.....easy simple website,No body text,"Date of experience: December 04, 2024"
Reasonably easy to use,No body text,"Date of experience: December 04, 2024"
Quick and Easy to book online,No body text,"Date of experience: December 15, 2024"
Very simple to use for a hotel we like,No body text,"Date of experience: October 28, 2024"
Repeat guest,Easy to use the website,"Date of experience: December 16, 2024"
Easy booking process,No body text,"Date of experience: December 12, 2024"
Very easy to navigate,Very easy to navigate. No irritating popups.,"Date of experience: December 08, 2024"
booking,easy to navigate,"Date of experience: December 13, 2024"
It was very user friendly and easily…,It was very user friendly and easily use able.,"Date of experience: December 07, 2024"
Easy to make reservations.,No body text,"Date of experience: December 13, 2024"
Very easy booking.,Very easy booking.,"Date of experience: December 09, 2024"
Quick and easy to book,No body text,"Date of experience: December 21, 2024"
Easy process,No body text,"Date of experience: December 07, 2024"
Ease of use on website.,Ease of use on website.13,"Date of experience: December 14, 2024"
Easy booking process,Easy booking process,"Date of experience: December 09, 2024"
Easy to use website,No body text,"Date of experience: December 12, 2024"
Fast withno surprises,Fast withno surprises,"Date of experience: December 06, 2024"
Great website,"Great website, easy to use","Date of experience: December 11, 2024"
Easy to use and book.,No body text,"Date of experience: December 20, 2024"
Clear and easy to use,No body text,"Date of experience: December 20, 2024"
Very easy experience,Very easy experience,"Date of experience: December 21, 2024"
Very easy to use website,No body text,"Date of experience: December 11, 2024"
Quick and easy to use.,Quick and easy to use.,"Date of experience: December 19, 2024"
Quick easy booking at a great price,No body text,"Date of experience: December 04, 2024"
Great place to stay.,"User friendly website, conveniently located","Date of experience: December 07, 2024"
Easy to do business,No body text,"Date of experience: December 09, 2024"
Easy to use and very secure!,No body text,"Date of experience: December 08, 2024"
Quick,"Quick, easy, and no surprises.","Date of experience: December 06, 2024"
easy to use,"easy to use, prompt service","Date of experience: December 08, 2024"
easy and straight forward,No body text,"Date of experience: December 07, 2024"
Good easy to use website,Good easy to use website,"Date of experience: December 08, 2024"
Fast easy,"Fast easy, good service, nice room","Date of experience: December 04, 2024"
Easy to make reservations.,No body text,"Date of experience: December 08, 2024"
Site all very clear and easy to use,No body text,"Date of experience: December 13, 2024"
It was easy!,No body text,"Date of experience: December 21, 2024"
Very easy and fast,No body text,"Date of experience: December 20, 2024"
Always easy to navigate!,Always easy to navigate!,"Date of experience: December 07, 2024"
easy to use experience,No body text,"Date of experience: December 07, 2024"
Good experience.,Very easy to use website.,"Date of experience: December 05, 2024"
Clear Booking and straightforward,Clear and simple,"Date of experience: December 21, 2024"
Réservation facile. Direct de l'hôtel.,Réservation directe et simple,"Date of experience: December 04, 2024"
very easy to use,"very easy to use, very happy thank you","Date of experience: December 10, 2024"
Easy to book,Easy to book,"Date of experience: December 20, 2024"
Very easy to book through this site!,No body text,"Date of experience: December 10, 2024"
Just worked,No body text,"Date of experience: December 22, 2024"
Easy to do,Easy to do. Clear options.,"Date of experience: December 05, 2024"
It was quick and easy,No body text,"Date of experience: December 16, 2024"
Straightforward booking process,"Straightforward booking process, minimum fuss.","Date of experience: December 14, 2024"
Easy  to book,No body text,"Date of experience: December 20, 2024"
Easy & Clear,No body text,"Date of experience: December 20, 2024"
Rates ar very good for this time of year,No body text,"Date of experience: December 07, 2024"
quck and easy,No body text,"Date of experience: December 18, 2024"
Quick and simple.,No body text,"Date of experience: December 18, 2024"
Easy to use,Easy to use. Great hotel,"Date of experience: December 13, 2024"
easy to book,No body text,"Date of experience: December 18, 2024"
Easy to book,No body text,"Date of experience: December 18, 2024"
Easy to book,No body text,"Date of experience: December 19, 2024"
took about 30 sec,No body text,"Date of experience: December 15, 2024"
Quick and easy,No body text,"Date of experience: December 16, 2024"
Very easy and great price,Very easy and great price,"Date of experience: December 11, 2024"
So very very easy,No body text,"Date of experience: December 15, 2024"
Simple,"Simple, quick!","Date of experience: December 16, 2024"
Easy to book,No body text,"Date of experience: December 15, 2024"
Easy to use thank you,No body text,"Date of experience: December 09, 2024"
The reservation experience was easy and…,The reservation experience was easy and intuitive.,"Date of experience: December 05, 2024"
Able to quickly book a room,Able to quickly book a room,"Date of experience: December 04, 2024"
Easy to book room,No body text,"Date of experience: December 12, 2024"
It was fast and easy,It was simple  quick,"Date of experience: December 10, 2024"
User friendly,User friendly,"Date of experience: December 19, 2024"
Easy to book,No body text,"Date of experience: December 14, 2024"
quick and easy,No body text,"Date of experience: December 13, 2024"
Very quick and easy to book,No body text,"Date of experience: December 04, 2024"
Easy to book,No body text,"Date of experience: December 13, 2024"
Easy to book.,No body text,"Date of experience: December 13, 2024"
Easy to book.,No body text,"Date of experience: December 12, 2024"
Easy to book,No body text,"Date of experience: December 12, 2024"
Quick and prompt,Quick and prompt,"Date of experience: December 09, 2024"
We love this hotel,No body text,"Date of experience: December 05, 2024"
Easy and quick.,No body text,"Date of experience: December 09, 2024"
Easy and simple,Easy and simple,"Date of experience: December 09, 2024"
Very easy to use!,No body text,"Date of experience: December 05, 2024"
Very easy to use,No body text,"Date of experience: December 06, 2024"
Very easy,Very easy. Thank you.,"Date of experience: December 04, 2024"
Very simple,Very simple,"Date of experience: December 09, 2024"
Good so far!,No body text,"Date of experience: December 06, 2024"
easy to book.,No body text,"Date of experience: December 04, 2024"
Nice and eazy,No body text,"Date of experience: December 04, 2024"
Easy to book,No body text,"Date of experience: December 08, 2024"
easy to use.,easy to use.,"Date of experience: December 07, 2024"
Ease of website,Ease of website.  Took only a minute or two and feel like the price was right.  Thank you.,"Date of experience: December 03, 2024"
Warm and cozy cabin theme w/fireplace,We have stayed here many times over the years. We love the warm and cozy cabin style with a fire place. I wish more hotels would have themed rooms.,"Date of experience: December 03, 2024"
It was seamless and not problematic,It was seamless and not problematic,"Date of experience: December 03, 2024"
Easy to use site,No body text,"Date of experience: December 03, 2024"
I have been attempting to book a room…,I have been attempting to book a room for two days. I would complete the information and then receive an ooops something went wrong message every time! Finally secured a room but at double the rate as when I began attempting to reserve.,"Date of experience: December 02, 2024"
I would have preferred to have a phone number to ring,I would have preferred to have a phone number to call,"Date of experience: December 03, 2024"
parking was difficult as well as signage to enter,"Beautiful hotel, awkward entrance, restaurant was closed as well as restaurants in general area","Date of experience: July 03, 2024"
Easy to make resrrvation,No body text,"Date of experience: December 02, 2024"
Easy booking,No body text,"Date of experience: December 02, 2024"
Easy to do!,Easy to do!! Anxious to see the beautiful chateau. Haven’t been there for years. I am sure that it will be beautiful!!,"Date of experience: December 02, 2024"
Yes it was easy and smooth.,Yes it was easy and smooth.,"Date of experience: December 02, 2024"
Cancellation Policy,"I would like a little more time before cancellation policy takes effect as seven days notice requires me to commit to the reservations even if my out-of-province guest is held up for any reason, such as health, weather delays, etc.","Date of experience: December 02, 2024"
"They show up 1st in search results, but cost more","They show up higher in search results than the direct-booking web site of the hotel itself.  (Presumably they are using SEO to manipulate Google's search results?)  Then they provide a ""total including fees and recovery charges"" value, but quietly mention that AN ADDITIONAL ""RESORT"" FEE will be charged by the hotel upon arrival.  When booking directly with the hotel, that fee is INCLUDED IN THE PRICE.  So the actual total cost is much less when booking directly with the hotel.  GOOGLE should build-in better protections, to keep 3rd-party companies from manipulating the search results.","Date of experience: December 02, 2024"
Would like to see photo of the room we…,Would like to see photo of the room we are booking,"Date of experience: December 02, 2024"
Easy and quick,No body text,"Date of experience: December 02, 2024"
As a frequent guest,"As a frequent guest, the ad for $99 special is mis-leading. I booked the lowest available room, and for mid-week and it is $119.  You mention ""For select rooms"" and ""Based on availability"", but that is quite vague.  You don't indicate what determines that, and especially for the room type and time of the week I chose.  I would suggest reconsidering how you position such a promotion so as to not appear as just luring people into reserving at a higher rate.  Additionally, I called the hotel to reserve, was put on an extended hold twice just to learn this promotion is for online reservations only, and that is not stated in your promotion email.","Date of experience: December 01, 2024"
easy to use and fast,No body text,"Date of experience: December 02, 2024"
Easy And efficient booking process.,I appreciated the efficiency of booking a stay at this hotel! The process usually takes much longer at other hotels. Thank you!,"Date of experience: December 02, 2024"
easy to navigate,easy to navigate.  Great photos of the property and room.,"Date of experience: December 02, 2024"
User friendly website,User friendly website. Easy to find information as well as booking reservation,"Date of experience: December 01, 2024"
The booking was very easy and…,The booking was very easy and straightforward.  The link to pics of the room worked beautifully!,"Date of experience: December 01, 2024"
Easy to book,"Super easy to book, and good description of rooms","Date of experience: December 01, 2024"
The Red Lion - Fareham - Booking,I much prefer book via the Red-Lion's Green King website rather than other branded website portals.  The information conveyed is clear and straightforward.  I like staying here.  Always a warm welcome. Rooms are well turned out and of high quality.  Breakfasts are high grade with broad menu of options to cater for all dietary requirements and tastes.,"Date of experience: December 01, 2024"
It was easy to find a suitable room,It was easy to find a suitable room. Easy to make the booking.,"Date of experience: December 02, 2024"
Common Sense,"Simple, not complex.","Date of experience: December 01, 2024"
The website was easy to read and easy…,The website was easy to read and easy to navigate.,"Date of experience: December 01, 2024"
Easy to look at different options of…,Easy to look at different options of rooms. Do not know what Fireside means although it costs more. Should explain location or if there is a fireplace in room. Didn't show in pictures. Easy to book.,"Date of experience: December 01, 2024"
Easy to book a room.,Easy to book a room.,"Date of experience: December 01, 2024"
Perfect booking experience,"Quick redirection to the site, easy to navigate, clear room options and payment rates.","Date of experience: December 01, 2024"
Fast and easy to book online,Fast and easy to book online,"Date of experience: December 01, 2024"
fast and easy but will not know until…Let you know,fast and easy but will not know until we check in the hotel.,"Date of experience: November 30, 2024"
I have stayed multiple times in this…,"I have stayed multiple times in this hotel; sometimes for up to 7 nights. Despite this my latest visit was very disappointing. The reservation was input incorrectly by the call center in India who added a day early to the itinerary and we were charged despite our vociferous dispute. The front desk, usually so welcoming was cold and unsympathetic to our protest of the added day and despite our multiple stays did nothing in the way of compensation even no drink tickets. Our room key cards didn’t  work and when I returned to the desk the lady manager laughed and said she knew it wasn’t done correctly and “was going to run after me” but got distracted. No apology given. We had a nice Thanksgiving buffet for which we paid handsomely. My husband was concerned that he would slip in the shower as they did not provide a rubber bathmat. He has cancer and is elderly. When I requested, they said they didn’t have any (?). Noisy kids next door and babies in diapers all day in the jacuzzi. Will find a new go to place next time for our frequent visits to La Jolla. The Kellogg family would be appalled.","Date of experience: November 28, 2024"
The website has clearly been improved,The website has clearly been improved. It is much more legible than it used to be.,"Date of experience: November 30, 2024"
Easy to use fabulous service,No body text,"Date of experience: December 01, 2024"
Good muy Bien,Good muy Bien,"Date of experience: November 30, 2024"
Yes the banana Ok,Yes the banana,"Date of experience: June 01, 2024"
The visuals were helpful,"The visuals were helpful, though I wished I could have had an exterior shot of the setting specifically.","Date of experience: November 30, 2024"
Hotel Selection Ease,The web site was easy to maneuver in and everything was available with the photos and prices of the rooms.,"Date of experience: November 30, 2024"
Much less complicated than many of the…,Much less complicated than many of the other accommodation booking websites.  Clear direction through to payment,"Date of experience: November 30, 2024"
Very easy to book on line,No body text,"Date of experience: November 30, 2024"
Easy booking,Easy booking. Have stayed here many times and have always been treated professionally and with respect.,"Date of experience: November 29, 2024"
Always stay here when flying,Always stay here when flying. Website is very easy to use. Hotel is in a goid position to our car parking and easy to find.,"Date of experience: May 16, 2024"
EASY TO NAVIGATE,No body text,"Date of experience: November 29, 2024"
Very fast for reservations,Very fast for reservations,"Date of experience: November 29, 2024"
The system is straightBorward and…,The system is straightforward and simple to use,"Date of experience: November 29, 2024"
Easy to use and very fast acceptance,Easy to use and very fast acceptanceGreat website,"Date of experience: November 28, 2024"
Easy to use and very clear,No body text,"Date of experience: November 28, 2024"
Easy to follow,"Easy to follow, fast and accurate!👍🏻😁","Date of experience: November 28, 2024"
AUGILL CASTLE,"I have had a most wonderful treat at Augill Castle today for Afternoon Tea with my son. A trip into the past in wonderful surroundings, with genteel elegance. Amazing staff, food and drinks. An event that I want to expand by staying for a relaxing few days to recharge my batteries to face the coming year. HIGHLY RECCOMMENDED.","Date of experience: November 28, 2024"
Good room description and easy to book…,Good room description and easy to book online.,"Date of experience: November 28, 2024"
easy to navigate and book a room.,easy to navigate and book a room.Thank You,"Date of experience: November 28, 2024"
Ease of the booking clear instructions.,Ease of the booking clear instructions.Great price,"Date of experience: November 27, 2024"
horrible clunky web site and poor phone service,"horrible clunky web site, I wanted two rooms but could not of the same type, but website would not let me change. Also tried calling the number at the top of the page and need up talking to someone who wanted know if I was in the USA or Canada (WTF). then tried front desk and they were no help at all and couldn't make the booking for me. Now only booked one room, and wish there was somewhere else I could stay","Date of experience: November 27, 2024"
the booking was very…Easy,the booking was very straightforward.Nice & Easy…… hassle free,"Date of experience: November 27, 2024"
It was so easy,It was so easy. I usually prefer to phone,"Date of experience: November 27, 2024"
Very quick reserving,Very quick reserving,"Date of experience: November 27, 2024"
Was easy to fill in,"Was easy to fill in, and great to have pictures of rooms to help make a choice","Date of experience: November 27, 2024"
Easy Booking,Extremely quick and simple,"Date of experience: November 26, 2024"
Always clean,"Always clean, friendly and helpful staff, only place we stay when in town!","Date of experience: May 26, 2024"
We don't know yet,We don't know yet. Its a bit like flying blind. Havent seen the property and just hoping for the best. We will review after the stay.,"Date of experience: November 26, 2024"
Easy to understand and easy to navigate,No body text,"Date of experience: November 26, 2024"
This hidden gem is the coolest place to…,This hidden gem is the coolest place to be for a weekend getaway. The owners are majorly cool and the vibe is exactly what a laid back California experice should be. Priced great and a stone's throw from the beach. Perfection.,"Date of experience: November 25, 2024"
Very easy to use!’,No body text,"Date of experience: November 26, 2024"
All good today!,No body text,"Date of experience: November 26, 2024"
Could not have been easier!,"The website was intuitive, clear, and easy to navigate, with a great range of language and currency options. Possibly the least amount of time I ever spent booking a room.","Date of experience: November 26, 2024"
Easy to navigate and great priceGreat deal,Easy to navigate and great price,"Date of experience: November 26, 2024"
It was quick and easy!,No body text,"Date of experience: November 25, 2024"
Easy Peezy Booking,Booking was easy and straightforward.,"Date of experience: November 26, 2024"
Very user friendly,Very user friendly,"Date of experience: November 25, 2024"
Great,"Great, easy Love the site","Date of experience: November 26, 2024"
Easy and good pricing,Easy and good pricing,"Date of experience: November 25, 2024"
Easy to do and just what I want.,No body text,"Date of experience: November 25, 2024"
Fast and easy...,No body text,"Date of experience: November 25, 2024"
Not able to view travel discounts such…,Not able to view travel discounts such as AAA,"Date of experience: November 25, 2024"
Quick and easy,Quick and easy,"Date of experience: November 25, 2024"
This was fast,"This was fast, direct, and very efficient","Date of experience: November 25, 2024"
I booked a three day stay at a hotel in…,"I booked a three day stay at a hotel in New York using this site, but not realizing that it was a service rather than the booking agent for the hotel itself.  When I checked out of the hotel, I learned that rather than pay $1100 (for three nights) which had been the rate from the hotel itself, HotelsOne charged me service fees that amounted to nearly $500 more than the hotels own rate.This service plainly is a scam.  Other services, for example Booking.com, invariably provide rates equal or lower than direct billings with the hotels they represent.Do not use this fraudulent service.","Date of experience: November 19, 2024"
Easy to follow,Easy to follow. I have stayed at the hotel many times and I highly recommend it.,"Date of experience: November 25, 2024"
Simple step by step,No body text,"Date of experience: November 25, 2024"
User friendly,User friendly. Easy to navigate!,"Date of experience: November 25, 2024"
I am visually impaired so find it hard…,I am visually impaired so find it hard to enter online.  I phoned up to make the booking over the phone and was told there support was limited and does not include taking bookings and the only way was for the customer to book online.  What are guests without computers meant to do or whose vision is too poor?,"Date of experience: November 25, 2024"
Easy process selecting rooms and…,Easy process selecting rooms and booking.,"Date of experience: November 24, 2024"
